duration,credit_amount,age,installment_commitment,residence_since,existing_credits,num_dependents,checking_status,credit_history,purpose,savings_status,employment,default
23,17465,74,1,5,3,2,A14,A34,A43,A62,A71,1
15,14735,57,2,9,1,0,A12,A30,A44,A62,A75,0
43,16210,55,2,6,3,2,A11,A33,A48,A61,A75,1
29,14934,69,1,3,3,1,A14,A34,A47,A61,A73,1
36,13978,35,2,8,1,2,A13,A30,A40,A62,A75,0
13,4381,33,1,1,3,1,A13,A30,A42,A63,A72,0
32,2499,25,2,9,1,0,A12,A31,A43,A63,A75,0
71,15349,40,3,9,3,1,A13,A33,A42,A61,A74,0
59,11403,53,3,4,2,2,A12,A34,A48,A64,A71,0
28,17284,20,3,8,2,2,A13,A31,A45,A63,A73,0
66,15200,32,1,3,2,2,A13,A34,A42,A65,A73,0
42,5945,55,3,6,1,2,A13,A32,A47,A61,A73,0
45,3128,50,3,8,1,2,A12,A32,A48,A63,A74,0
62,18540,35,3,9,1,2,A14,A30,A49,A62,A75,1
57,17504,40,1,8,2,0,A12,A31,A43,A64,A74,0
6,746,60,2,9,3,2,A11,A30,A44,A62,A72,0
28,5712,20,1,4,1,1,A11,A30,A42,A62,A75,0
28,3839,47,1,1,2,1,A13,A30,A44,A64,A74,0
44,19894,62,3,7,1,1,A13,A32,A41,A61,A72,1
30,2868,34,2,4,1,0,A14,A30,A41,A62,A72,1
62,12686,67,3,1,3,1,A14,A30,A410,A61,A74,0
62,2339,49,3,3,1,1,A14,A30,A44,A61,A74,1
1,19787,63,1,7,1,1,A13,A30,A46,A61,A71,1
27,6705,74,1,3,3,0,A12,A31,A40,A62,A74,0
62,4895,24,1,1,1,1,A13,A34,A42,A61,A73,0
3,15790,56,3,7,1,1,A11,A31,A40,A62,A75,1
70,4191,31,2,8,3,0,A13,A33,A47,A61,A72,0
27,7970,73,2,5,1,2,A14,A31,A41,A65,A73,1
9,4341,32,3,6,1,1,A11,A33,A45,A62,A73,0
62,4848,61,2,3,2,2,A13,A32,A410,A65,A72,0
37,18276,29,3,5,3,1,A14,A34,A45,A61,A75,0
51,6560,25,2,3,2,0,A13,A30,A48,A62,A71,0
44,16025,33,3,2,3,2,A13,A33,A45,A64,A71,0
24,4800,58,2,7,1,0,A14,A32,A49,A65,A73,0
59,3838,51,1,7,2,2,A11,A34,A45,A63,A73,0
32,5987,63,1,8,2,0,A11,A33,A410,A63,A74,1
52,4014,41,1,1,2,2,A12,A32,A40,A64,A71,0
62,17643,73,1,2,2,2,A11,A30,A46,A64,A71,0
58,11780,46,3,2,3,2,A13,A32,A45,A63,A75,0
52,10807,33,2,3,1,1,A14,A32,A47,A62,A74,0
12,10415,22,3,7,1,2,A11,A30,A40,A61,A72,0
39,11658,22,1,7,2,2,A13,A33,A47,A62,A72,1
2,9121,69,2,7,1,1,A13,A32,A47,A63,A75,1
3,11047,47,3,1,1,1,A11,A30,A40,A65,A72,0
56,13985,70,1,2,3,0,A14,A33,A410,A65,A71,1
59,2959,67,2,8,1,0,A14,A30,A46,A61,A73,0
2,5773,67,2,9,1,1,A12,A31,A46,A61,A74,0
2,18602,22,1,7,1,1,A14,A33,A46,A63,A72,1
54,9957,60,1,1,1,1,A14,A31,A42,A63,A72,0
1,5923,30,2,4,2,1,A11,A32,A42,A61,A72,1
19,18192,52,1,8,3,1,A11,A32,A410,A65,A72,1
2,17934,66,3,5,3,0,A13,A32,A47,A64,A73,1
53,5979,42,1,1,3,1,A11,A33,A47,A64,A73,1
44,15919,67,1,7,1,1,A12,A34,A47,A64,A75,1
32,2749,31,1,6,2,0,A13,A33,A42,A65,A71,1
70,3309,61,2,9,3,2,A14,A33,A43,A62,A72,0
32,3421,63,2,4,2,0,A11,A34,A41,A62,A75,0
68,5176,43,1,4,3,0,A12,A33,A410,A65,A71,0
55,2917,35,2,8,2,1,A13,A31,A42,A62,A73,1
56,17416,37,1,4,1,2,A12,A34,A44,A64,A72,1
17,13963,51,3,3,1,0,A12,A34,A42,A65,A73,1
38,8667,24,2,7,3,2,A14,A31,A43,A61,A72,0
24,1969,64,1,5,3,0,A13,A34,A46,A65,A73,0
69,7792,27,2,9,3,1,A11,A34,A42,A63,A75,1
70,7431,32,3,5,1,0,A14,A31,A40,A64,A75,0
11,1591,34,3,9,1,0,A12,A30,A40,A64,A73,0
16,16863,28,1,6,3,0,A13,A30,A43,A63,A73,1
59,760,51,2,6,3,2,A14,A30,A40,A64,A74,1
70,10956,44,3,6,1,2,A11,A31,A45,A63,A72,0
3,13935,38,2,7,3,1,A12,A32,A43,A63,A74,0
20,9877,48,1,4,3,2,A13,A33,A44,A64,A73,0
59,16313,67,3,4,3,2,A14,A34,A45,A65,A75,1
36,4801,74,3,9,1,2,A14,A31,A41,A63,A72,0
19,7707,21,2,7,1,1,A12,A33,A40,A61,A75,1
67,16976,58,3,6,2,1,A14,A31,A49,A63,A73,0
19,9056,66,1,1,2,1,A11,A34,A41,A61,A74,1
20,14295,34,1,7,2,1,A11,A32,A45,A65,A72,0
71,6625,66,3,6,2,0,A11,A31,A49,A63,A74,0
52,2424,65,1,4,3,1,A13,A33,A48,A63,A72,0
33,19979,37,3,8,1,1,A14,A33,A47,A63,A75,0
40,7183,42,3,7,1,0,A11,A34,A49,A61,A71,0
39,19422,57,3,8,2,0,A11,A30,A410,A65,A72,0
1,19160,40,3,9,3,2,A13,A34,A40,A64,A73,0
11,13831,32,2,1,1,2,A14,A34,A44,A62,A72,1
57,10445,50,3,3,1,1,A11,A30,A46,A63,A73,0
50,17794,36,1,2,3,2,A11,A32,A47,A63,A71,0
23,806,74,2,3,3,0,A11,A31,A46,A63,A71,0
31,4731,32,1,2,2,2,A13,A33,A40,A64,A75,1
42,6528,58,3,6,2,2,A14,A31,A43,A65,A75,0
7,12707,22,1,9,3,1,A11,A31,A43,A61,A71,0
16,7158,33,2,2,1,0,A12,A33,A48,A64,A72,1
60,6836,62,1,4,3,0,A13,A30,A45,A65,A72,0
2,14396,65,2,5,3,2,A12,A33,A45,A62,A75,0
1,10130,49,3,5,1,2,A14,A30,A44,A65,A72,0
48,17756,39,3,1,1,2,A13,A30,A44,A65,A72,1
12,1641,60,1,6,2,1,A13,A34,A48,A61,A72,0
69,17549,49,1,5,3,2,A13,A32,A41,A65,A72,0
37,8900,30,3,6,2,2,A14,A34,A49,A65,A73,0
32,1451,55,3,4,3,1,A12,A32,A44,A63,A75,1
9,9749,43,1,6,3,0,A11,A30,A40,A61,A71,0
19,13436,69,3,9,1,1,A14,A34,A44,A65,A71,0
48,14955,34,2,1,3,2,A11,A31,A43,A65,A73,1
3,5222,22,2,6,3,2,A11,A33,A43,A63,A75,0
20,13312,66,1,1,1,0,A11,A33,A43,A61,A73,0
24,4508,50,1,7,1,1,A13,A33,A42,A62,A75,0
54,10560,44,3,4,1,2,A13,A32,A45,A61,A73,0
33,13556,22,3,6,3,0,A12,A33,A42,A64,A72,0
24,7155,54,2,7,1,2,A14,A32,A45,A65,A73,1
36,17655,24,1,5,3,0,A11,A32,A45,A64,A73,0
38,13527,65,1,9,2,2,A14,A32,A410,A64,A74,0
25,4530,35,1,8,1,2,A14,A31,A49,A62,A75,0
18,1021,48,1,3,2,0,A14,A30,A41,A65,A72,1
66,1900,23,2,1,2,0,A13,A31,A48,A61,A73,0
54,12430,19,2,8,1,2,A11,A30,A49,A63,A72,0
35,4223,30,1,4,1,0,A11,A31,A47,A65,A75,0
61,7079,59,2,7,3,2,A14,A32,A46,A64,A71,0
41,18742,70,1,4,1,2,A12,A30,A48,A64,A74,0
33,5281,69,2,7,2,1,A13,A33,A47,A65,A74,1
68,13373,28,3,1,2,2,A14,A31,A48,A62,A75,0
33,19282,43,2,1,2,2,A14,A30,A47,A61,A74,0
14,17026,38,1,2,3,0,A11,A33,A42,A63,A71,0
21,11543,19,3,5,3,1,A12,A34,A49,A62,A72,0
48,16875,57,1,6,1,0,A14,A32,A40,A61,A73,1
20,17601,73,3,2,1,0,A12,A31,A410,A65,A75,0
8,1142,71,3,1,1,2,A11,A31,A45,A62,A75,1
7,19432,68,2,9,2,2,A11,A34,A42,A63,A74,0
67,12385,37,2,7,2,2,A14,A30,A42,A61,A73,0
17,8049,34,3,8,2,0,A12,A31,A45,A65,A74,0
33,13897,33,3,6,1,0,A14,A31,A49,A61,A74,0
48,15574,74,3,9,1,2,A14,A31,A48,A63,A72,0
59,14271,59,1,8,2,0,A14,A31,A44,A65,A72,0
22,1449,22,2,4,1,1,A14,A34,A40,A64,A74,0
30,17405,31,1,5,3,1,A12,A32,A49,A64,A71,1
38,15232,41,2,2,1,1,A14,A31,A46,A62,A75,0
51,17238,68,1,1,2,0,A11,A34,A48,A65,A71,0
54,18366,21,2,6,1,1,A11,A33,A49,A65,A75,0
8,10339,69,3,3,3,2,A12,A31,A41,A62,A73,0
27,13323,65,3,4,2,2,A14,A30,A48,A61,A73,0
27,19099,41,2,1,1,2,A14,A34,A44,A62,A71,0
21,19421,64,3,6,1,1,A13,A30,A40,A65,A74,1
30,15190,26,3,8,1,1,A14,A32,A43,A64,A74,0
28,6839,20,1,4,1,0,A12,A33,A47,A61,A73,0
64,11456,72,2,8,3,2,A12,A30,A42,A65,A74,0
69,4265,26,3,3,1,0,A13,A31,A44,A63,A72,0
61,3327,35,2,7,1,1,A11,A34,A41,A64,A73,1
48,2558,53,1,3,2,0,A12,A33,A44,A64,A75,1
19,12019,36,2,6,3,2,A14,A34,A48,A62,A75,1
4,1230,41,1,4,2,0,A14,A33,A42,A65,A74,0
35,2332,21,1,6,3,0,A11,A30,A46,A65,A75,1
64,9100,26,1,7,1,1,A13,A32,A45,A62,A75,0
49,16118,50,3,8,3,1,A12,A34,A41,A65,A71,0
17,7670,18,1,6,2,1,A14,A31,A46,A65,A71,1
44,4679,69,2,4,1,1,A11,A34,A49,A64,A75,0
30,6799,68,2,9,2,2,A11,A32,A43,A61,A73,1
46,8330,52,3,7,2,2,A11,A30,A45,A63,A75,1
6,11939,27,3,9,3,0,A14,A31,A46,A63,A72,0
37,5302,29,1,3,1,2,A11,A31,A48,A61,A73,0
24,7115,35,1,5,2,0,A11,A30,A46,A63,A72,0
46,7262,31,1,1,2,1,A11,A34,A42,A61,A72,0
53,6043,27,3,8,3,0,A12,A31,A48,A65,A74,0
60,5383,27,3,1,2,0,A14,A34,A45,A62,A71,0
63,16239,35,2,1,1,2,A12,A34,A43,A65,A74,0
32,1166,41,1,7,1,0,A13,A30,A49,A62,A72,0
33,776,18,1,8,3,2,A11,A32,A44,A61,A74,0
67,14563,47,2,3,2,0,A14,A32,A49,A65,A74,0
18,1381,32,2,2,3,2,A13,A34,A40,A61,A73,0
25,2560,25,2,7,3,1,A12,A30,A43,A64,A74,0
54,15177,52,2,5,2,2,A13,A32,A42,A61,A73,1
58,18966,35,1,1,1,1,A12,A34,A45,A65,A74,0
67,7202,58,3,2,3,2,A14,A31,A48,A62,A74,1
46,9929,33,1,3,1,1,A12,A31,A42,A64,A72,0
24,16353,38,2,6,1,1,A13,A33,A44,A65,A72,1
32,658,32,3,1,2,2,A12,A33,A41,A65,A75,0
47,16496,22,1,8,2,1,A12,A33,A48,A65,A75,0
23,5729,62,2,2,1,0,A13,A32,A47,A64,A73,1
66,8456,71,3,5,1,0,A13,A31,A49,A65,A72,0
27,13066,69,3,8,1,1,A11,A31,A43,A62,A75,0
2,3026,24,3,5,3,1,A13,A32,A410,A65,A74,1
17,8303,65,1,8,1,1,A12,A31,A47,A63,A72,0
33,7074,24,2,6,3,2,A14,A31,A49,A61,A74,0
9,9233,44,1,7,2,0,A14,A34,A43,A63,A74,1
43,18022,42,1,8,2,1,A11,A31,A41,A62,A73,1
48,7757,39,1,3,1,1,A12,A34,A48,A62,A72,0
39,3783,65,3,5,2,2,A13,A33,A41,A61,A74,0
42,16409,30,2,7,1,0,A12,A30,A40,A62,A73,1
26,12302,34,1,9,3,1,A13,A34,A40,A62,A71,0
50,8396,58,2,6,1,0,A13,A31,A42,A65,A71,0
25,19303,61,3,1,2,2,A13,A33,A49,A61,A74,0
24,14026,30,1,8,1,0,A11,A30,A46,A63,A74,1
13,18640,43,2,6,2,1,A13,A30,A45,A65,A71,0
60,11778,26,3,1,3,1,A12,A33,A42,A65,A75,0
7,13742,22,1,4,2,0,A11,A33,A44,A63,A73,1
57,19190,56,1,6,2,2,A11,A30,A49,A62,A74,0
36,3070,50,2,1,2,2,A14,A30,A45,A64,A71,1
45,824,21,2,5,2,2,A11,A31,A49,A64,A71,1
20,10221,45,1,3,2,2,A12,A34,A41,A62,A71,1
65,6145,43,1,7,2,1,A14,A34,A42,A65,A71,0
8,18829,21,3,8,1,0,A13,A30,A43,A63,A71,0
16,14904,33,3,3,3,1,A14,A30,A47,A64,A71,0
14,4986,54,1,3,1,0,A11,A32,A410,A65,A74,1
15,2930,39,2,3,3,0,A13,A30,A40,A64,A73,1
66,17729,53,2,6,1,2,A13,A34,A48,A63,A71,0
32,13656,55,1,6,3,2,A12,A31,A40,A65,A71,0
63,1067,72,3,3,3,0,A11,A32,A42,A61,A71,0
51,2679,52,1,6,1,0,A12,A34,A42,A65,A71,0
25,2519,42,2,9,1,0,A11,A31,A48,A61,A71,1
58,16419,25,1,8,3,1,A11,A32,A42,A62,A72,0
63,19204,34,1,7,2,0,A13,A32,A42,A63,A72,0
62,18530,35,3,7,3,1,A13,A32,A41,A64,A71,0
22,4409,67,2,8,2,0,A14,A32,A43,A62,A71,0
58,8515,74,2,7,3,2,A11,A32,A410,A62,A75,0
58,3920,29,1,3,2,0,A11,A32,A47,A65,A75,0
49,15385,74,2,8,1,0,A13,A33,A45,A65,A73,0
52,17240,74,2,8,1,1,A11,A31,A40,A61,A72,0
42,7985,50,2,1,2,0,A11,A34,A44,A61,A74,0
70,19965,40,2,5,2,1,A11,A30,A410,A62,A73,0
15,19164,29,3,5,2,1,A12,A34,A49,A62,A73,1
54,4631,28,3,1,2,2,A14,A33,A410,A65,A71,1
60,11152,30,3,6,1,2,A14,A33,A47,A65,A71,0
8,14879,52,3,6,3,2,A11,A32,A40,A64,A74,1
53,15403,44,3,4,1,2,A11,A33,A45,A63,A75,0
60,16413,42,2,6,3,1,A13,A34,A410,A64,A71,0
5,19671,57,1,6,1,0,A14,A33,A46,A63,A72,0
68,9970,20,1,1,2,1,A14,A34,A44,A62,A74,1
6,17349,66,3,5,1,2,A13,A32,A43,A65,A74,0
47,12040,42,2,2,1,0,A14,A32,A46,A64,A71,0
55,18371,62,3,7,2,1,A12,A33,A48,A63,A74,1
40,5097,27,1,9,2,0,A13,A30,A43,A61,A75,0
52,5036,34,2,9,1,1,A11,A32,A42,A63,A71,0
16,17209,20,2,9,1,0,A12,A31,A49,A63,A75,0
13,10457,62,2,7,3,0,A14,A31,A43,A65,A75,0
30,4662,39,1,7,3,2,A11,A32,A44,A64,A72,0
19,803,55,1,1,1,2,A14,A33,A48,A62,A71,1
17,5567,31,3,6,3,0,A14,A32,A410,A64,A72,1
63,5524,44,3,5,2,0,A11,A33,A40,A62,A72,0
19,8215,59,1,8,1,2,A11,A34,A48,A61,A74,0
58,11726,37,3,8,1,1,A12,A30,A48,A65,A73,0
55,3131,65,1,4,3,0,A14,A30,A47,A63,A71,0
62,13912,35,2,1,1,1,A13,A34,A49,A64,A75,1
23,15537,30,3,6,1,2,A13,A34,A47,A64,A74,0
9,12147,59,1,1,2,0,A13,A34,A47,A62,A72,0
12,13069,23,1,5,1,1,A14,A30,A43,A64,A72,0
1,2869,27,1,5,3,2,A14,A32,A46,A63,A71,0
58,12159,54,3,3,2,0,A11,A31,A41,A62,A74,0
1,1028,46,3,5,3,1,A12,A33,A42,A63,A75,0
34,11002,23,2,6,1,0,A14,A31,A47,A62,A72,0
48,5175,56,3,5,3,1,A13,A33,A43,A63,A74,1
1,18547,28,3,1,3,1,A14,A30,A49,A62,A75,0
16,2841,65,3,7,2,0,A12,A32,A410,A65,A74,0
61,14419,42,2,3,1,2,A14,A31,A45,A64,A72,0
64,15230,61,2,7,2,0,A12,A34,A410,A63,A72,0
63,15756,61,2,5,1,2,A11,A34,A47,A61,A75,0
69,5405,47,3,3,2,1,A12,A34,A47,A65,A74,1
22,16039,72,1,6,1,1,A13,A31,A44,A65,A72,0
67,15755,37,3,1,2,1,A14,A32,A410,A63,A74,1
26,9384,54,2,6,1,2,A14,A32,A46,A63,A71,1
16,9643,33,3,4,2,1,A13,A34,A40,A61,A75,0
51,6450,48,3,4,3,0,A12,A31,A44,A63,A73,0
57,1860,46,1,5,2,1,A14,A34,A42,A61,A75,0
29,5627,23,1,9,3,2,A14,A33,A43,A63,A72,0
69,14752,46,3,1,2,2,A12,A33,A40,A61,A74,1
47,9230,49,2,3,3,0,A12,A31,A40,A62,A75,0
62,4425,26,3,4,1,0,A12,A33,A42,A64,A73,1
69,8963,54,3,2,3,2,A14,A30,A43,A64,A71,0
16,17912,70,3,9,1,2,A13,A30,A42,A63,A72,0
48,1742,40,2,7,3,0,A13,A30,A41,A63,A74,0
39,9284,33,2,1,1,0,A11,A33,A410,A64,A71,0
33,10297,35,2,9,3,0,A12,A32,A46,A64,A72,1
23,6906,36,2,6,2,0,A13,A30,A49,A61,A75,0
10,14465,61,2,2,1,2,A12,A34,A48,A61,A75,1
69,14233,19,3,1,1,1,A14,A32,A410,A62,A73,0
34,18324,27,2,6,3,2,A13,A31,A42,A62,A71,1
52,4126,29,3,7,2,0,A14,A33,A48,A61,A75,0
10,10574,63,3,6,1,2,A11,A34,A47,A62,A73,1
19,17068,35,3,7,1,0,A13,A31,A44,A65,A74,0
58,8531,36,1,6,2,2,A13,A33,A410,A61,A74,0
1,3688,55,2,8,2,0,A11,A33,A45,A62,A71,0
69,3445,54,2,2,2,0,A12,A34,A40,A62,A74,0
4,7265,44,3,9,1,2,A13,A33,A45,A63,A75,1
16,19358,65,1,9,3,0,A11,A33,A48,A63,A74,0
24,11307,31,2,9,3,1,A14,A33,A46,A63,A75,0
2,10704,62,3,7,1,0,A11,A32,A48,A64,A73,1
32,9852,70,1,9,1,0,A14,A30,A44,A64,A75,0
24,5099,51,3,1,1,0,A11,A34,A44,A64,A75,0
12,4813,19,1,3,1,1,A13,A32,A44,A61,A71,1
50,2718,61,3,2,2,2,A12,A34,A45,A63,A74,0
35,14286,50,2,1,1,1,A13,A32,A43,A63,A75,0
33,18036,36,3,5,1,1,A13,A33,A49,A61,A71,1
33,556,44,3,1,1,1,A14,A33,A48,A64,A71,0
61,13033,65,1,3,2,2,A13,A32,A46,A62,A71,0
51,643,47,1,6,2,0,A11,A33,A42,A65,A72,1
43,7718,24,2,6,2,1,A12,A30,A49,A63,A71,1
12,9059,44,3,3,1,0,A13,A34,A46,A64,A71,0
67,1115,38,1,4,2,1,A12,A33,A410,A62,A75,0
65,8562,24,2,7,1,1,A14,A31,A42,A63,A71,1
33,12020,65,2,6,1,1,A13,A32,A42,A63,A71,0
40,6477,42,1,2,3,1,A12,A32,A43,A65,A72,1
43,11919,55,1,9,2,1,A11,A33,A41,A64,A72,1
44,10280,35,3,6,3,1,A12,A32,A47,A61,A71,0
29,11181,50,2,2,3,2,A11,A31,A40,A62,A71,1
13,7484,50,1,7,2,0,A11,A32,A49,A62,A75,1
12,5471,49,2,4,2,0,A14,A31,A40,A64,A75,1
46,1444,42,3,1,3,2,A12,A32,A410,A62,A72,0
2,9614,31,1,9,1,1,A13,A32,A40,A61,A75,0
35,7578,55,2,8,3,2,A13,A31,A43,A62,A74,0
8,18630,55,1,5,2,2,A13,A34,A40,A64,A73,0
26,12812,21,3,3,1,2,A13,A30,A42,A61,A72,1
34,6283,61,3,4,3,0,A12,A31,A46,A65,A72,0
7,10251,35,3,3,3,2,A14,A30,A42,A64,A75,0
68,7407,27,3,8,3,1,A13,A32,A41,A65,A73,0
58,19810,52,1,5,2,2,A13,A34,A49,A62,A73,0
29,17973,52,1,8,3,0,A11,A31,A45,A61,A71,1
36,3457,57,2,1,2,0,A12,A34,A47,A62,A72,0
21,19496,71,2,9,1,1,A11,A31,A43,A64,A71,1
36,6547,40,1,3,1,2,A11,A33,A43,A65,A75,0
10,6749,42,1,1,3,1,A14,A31,A410,A65,A73,0
24,16847,18,2,3,2,2,A13,A30,A41,A62,A71,0
64,4259,35,1,2,3,1,A13,A33,A44,A64,A73,0
49,4763,32,3,7,1,1,A12,A32,A49,A62,A71,0
36,10781,42,3,4,2,1,A11,A31,A47,A63,A71,0
24,2402,49,3,7,1,0,A13,A30,A40,A64,A73,0
23,3067,70,2,3,1,0,A14,A32,A41,A64,A75,0
